symbol,timestamp,open,high,low,close,volume
AAPL,2025-03-21 19:55:00,217.7400,217.8800,217.7000,217.8000,7139
AAPL,2025-03-21 19:50:00,217.6501,217.7800,217.6500,217.7019,3217
AAPL,2025-03-21 19:45:00,217.6400,217.7800,217.6300,217.7800,4372
AAPL,2025-03-21 19:40:00,217.6493,217.6600,217.6000,217.6400,743
AAPL,2025-03-21 19:35:00,217.6600,217.6600,217.6200,217.6400,3889
AAPL,2025-03-21 19:30:00,217.7100,218.2700,217.6000,217.6597,120809
AAPL,2025-03-21 19:25:00,217.7400,217.7800,217.7000,217.7001,6553
AAPL,2025-03-21 19:20:00,217.7300,217.7800,217.7000,217.7000,4230
AAPL,2025-03-21 19:15:00,217.7800,217.7800,217.7000,217.7780,3600
AAPL,2025-03-21 19:10:00,217.7600,217.7800,217.7000,217.7100,1028
AAPL,2025-03-21 19:05:00,217.7053,217.7800,217.7000,217.7100,1646
AAPL,2025-03-21 19:00:00,217.7475,217.7800,217.7000,217.7500,584
AAPL,2025-03-21 18:55:00,217.7800,217.7800,217.6200,217.7200,1274
AAPL,2025-03-21 18:50:00,217.7800,217.7800,217.7000,217.7800,351
AAPL,2025-03-21 18:45:00,217.6200,217.7800,217.6200,217.7500,719
AAPL,2025-03-21 18:40:00,217.7200,217.7500,217.6100,217.7009,488
AAPL,2025-03-21 18:35:00,217.7500,217.7500,217.7000,217.7000,841
AAPL,2025-03-21 18:30:00,217.6200,217.7500,217.6000,217.7200,928
AAPL,2025-03-21 18:25:00,217.6000,217.7400,217.5900,217.7200,2954
AAPL,2025-03-21 18:20:00,217.5400,217.6500,217.5200,217.6000,6544
AAPL,2025-03-21 18:15:00,217.5800,217.5900,217.5400,217.5487,899
AAPL,2025-03-21 18:10:00,217.6002,217.6002,216.0665,217.5800,2081
AAPL,2025-03-21 18:05:00,217.6100,217.6500,217.5900,217.6000,684
AAPL,2025-03-21 18:00:00,217.5900,217.6500,217.5900,217.6100,546
AAPL,2025-03-21 17:55:00,217.5500,217.6000,217.5500,217.6000,589
AAPL,2025-03-21 17:50:00,217.5400,217.6000,217.5400,217.5600,1510
AAPL,2025-03-21 17:45:00,217.6000,217.6000,217.5000,217.5400,1022
AAPL,2025-03-21 17:40:00,217.4512,217.6000,217.4500,217.5500,1188
AAPL,2025-03-21 17:35:00,217.5300,217.6000,217.4500,217.5900,706
AAPL,2025-03-21 17:30:00,217.5600,217.5700,217.3500,217.5000,7317
AAPL,2025-03-21 17:25:00,217.5700,218.2700,217.5300,217.5600,64101
AAPL,2025-03-21 17:20:00,217.6000,217.6600,217.5000,217.5300,7596
AAPL,2025-03-21 17:15:00,217.5062,220.7776,217.5000,217.6950,3510
AAPL,2025-03-21 17:10:00,217.6000,218.2700,208.1148,217.5293,58922
AAPL,2025-03-21 17:05:00,217.6793,217.7500,202.4032,217.6200,7811
AAPL,2025-03-21 17:00:00,217.7500,217.7700,217.5400,217.6800,4913
AAPL,2025-03-21 16:55:00,217.5800,218.2700,217.5406,217.7427,147966
AAPL,2025-03-21 16:50:00,217.5400,218.2700,217.5100,217.5800,8959
AAPL,2025-03-21 16:45:00,217.5500,217.9800,217.4700,217.5800,22478
AAPL,2025-03-21 16:40:00,217.6000,218.2700,217.5000,217.5300,5884
AAPL,2025-03-21 16:35:00,217.5000,218.2700,217.5000,217.5500,40299
AAPL,2025-03-21 16:30:00,217.5600,218.2700,217.4700,217.5000,52456
AAPL,2025-03-21 16:25:00,217.6300,218.2700,217.5100,217.5600,64350
AAPL,2025-03-21 16:20:00,217.5800,218.2918,217.5700,217.6300,41439
AAPL,2025-03-21 16:15:00,217.5500,218.2700,217.4508,217.5800,21387
AAPL,2025-03-21 16:10:00,217.3600,218.2787,217.3100,217.5470,404073
AAPL,2025-03-21 16:05:00,217.8300,218.2714,217.2700,217.3600,7102436
AAPL,2025-03-21 16:00:00,218.3500,218.4400,217.4000,217.8700,57152224
AAPL,2025-03-21 15:55:00,217.3100,218.8400,217.2500,218.3600,5337522
AAPL,2025-03-21 15:50:00,215.5800,217.7500,215.5700,217.3050,2851775
AAPL,2025-03-21 15:45:00,215.3600,215.7800,215.3300,215.5600,609305
AAPL,2025-03-21 15:40:00,215.1800,215.4100,215.1550,215.3700,470283
AAPL,2025-03-21 15:35:00,215.1000,215.2600,215.0100,215.1950,380650
AAPL,2025-03-21 15:30:00,215.3100,215.4050,215.0301,215.1100,498832
AAPL,2025-03-21 15:25:00,215.2150,215.3500,215.1400,215.3100,317907
AAPL,2025-03-21 15:20:00,215.2600,215.3000,214.9400,215.2300,334181
AAPL,2025-03-21 15:15:00,215.0600,215.3400,214.9200,215.2700,315142
AAPL,2025-03-21 15:10:00,215.0000,215.1250,214.8600,215.0615,447269
AAPL,2025-03-21 15:05:00,215.1550,215.1950,214.9900,215.0250,506641
AAPL,2025-03-21 15:00:00,215.1700,215.2200,215.0450,215.1550,279428
AAPL,2025-03-21 14:55:00,215.2100,215.3700,215.1300,215.1700,268493
AAPL,2025-03-21 14:50:00,215.1000,215.2200,215.0500,215.2050,304340
AAPL,2025-03-21 14:45:00,215.2483,215.2483,214.6400,215.1000,534135
AAPL,2025-03-21 14:40:00,215.0700,215.3000,214.9600,215.2450,298849
AAPL,2025-03-21 14:35:00,214.9100,215.0700,214.7398,215.0700,332056
AAPL,2025-03-21 14:30:00,214.6700,215.0400,214.6700,214.9100,250456
AAPL,2025-03-21 14:25:00,214.6950,214.8200,214.5000,214.6600,243310
AAPL,2025-03-21 14:20:00,214.7200,214.9399,214.6500,214.6900,306555
AAPL,2025-03-21 14:15:00,214.7493,214.8200,214.5700,214.7300,186609
AAPL,2025-03-21 14:10:00,214.6300,214.7850,214.4720,214.7500,222615
AAPL,2025-03-21 14:05:00,214.6000,214.7400,214.3700,214.6500,238723
AAPL,2025-03-21 14:00:00,214.2800,214.6700,214.2800,214.6000,369117
AAPL,2025-03-21 13:55:00,214.8000,214.8400,214.2601,214.2900,206953
AAPL,2025-03-21 13:50:00,214.7079,214.9300,214.6700,214.8100,196970
AAPL,2025-03-21 13:45:00,214.6400,214.7700,214.4400,214.7000,231249
AAPL,2025-03-21 13:40:00,215.0100,215.0100,214.6101,214.6224,413248
AAPL,2025-03-21 13:35:00,214.7700,215.0390,214.7400,215.0250,217507
AAPL,2025-03-21 13:30:00,214.6200,214.8100,214.4100,214.7600,259063
AAPL,2025-03-21 13:25:00,214.9400,214.9800,214.4848,214.6200,212808
AAPL,2025-03-21 13:20:00,214.8200,215.0500,214.7020,214.9402,247472
AAPL,2025-03-21 13:15:00,215.0600,215.1200,214.7800,214.8100,204740
AAPL,2025-03-21 13:10:00,215.2200,215.3200,214.9900,215.0600,184314
AAPL,2025-03-21 13:05:00,215.1000,215.2487,214.8900,215.2101,169465
AAPL,2025-03-21 13:00:00,215.4250,215.4250,215.0100,215.1000,222004
AAPL,2025-03-21 12:55:00,215.1700,215.4600,215.0600,215.4300,273151
AAPL,2025-03-21 12:50:00,215.2900,215.4800,215.1100,215.1600,278144
AAPL,2025-03-21 12:45:00,215.0900,215.3756,215.0800,215.2800,823276
AAPL,2025-03-21 12:40:00,214.9800,215.4200,214.8200,215.0800,460774
AAPL,2025-03-21 12:35:00,215.3250,215.3299,214.7500,214.9700,264052
AAPL,2025-03-21 12:30:00,214.6700,215.3500,214.6200,215.3200,576491
AAPL,2025-03-21 12:25:00,215.0600,215.0700,214.5500,214.6550,323655
AAPL,2025-03-21 12:20:00,214.8300,215.4000,214.7900,215.0599,395557
AAPL,2025-03-21 12:15:00,214.4650,214.9900,214.3000,214.8300,411690
AAPL,2025-03-21 12:10:00,213.8300,214.5300,213.8100,214.4721,328994
AAPL,2025-03-21 12:05:00,213.1800,213.8499,213.1510,213.8200,279074
AAPL,2025-03-21 12:00:00,213.2500,213.3096,212.6400,213.1800,428365
AAPL,2025-03-21 11:55:00,213.2800,213.5700,213.2602,213.2602,196729
AAPL,2025-03-21 11:50:00,213.2100,213.4200,212.9950,213.2600,303062
AAPL,2025-03-21 11:45:00,212.7000,213.3199,212.6800,213.2350,273025
